date,open,high,low,close,adjclose,volume
2022-01-02,3244.669922,3258.139893,3235.530029,3257.850098,3257.850098,3458250000
2022-01-03,3226.360107,3246.149902,3222.340088,3234.850098,3234.850098,3461290000
2022-01-06,3217.550049,3246.840088,3214.639893,3246.280029,3246.280029,3674070000
2022-01-07,3241.860107,3244.909912,3232.429932,3237.179932,3237.179932,3420380000
2022-01-08,3238.590088,3267.070068,3236.669922,3253.050049,3253.050049,3720890000
2022-01-09,3266.030029,3275.580078,3263.669922,3274.699951,3274.699951,3638390000
2022-01-10,3281.810059,3282.989990,3260.860107,3265.350098,3265.350098,3212970000
2022-01-13,3271.129883,3288.129883,3268.429932,3288.129883,3288.129883,3456380000
2022-01-14,3285.350098,3294.250000,3277.189941,3283.149902,3283.149902,3665130000
2022-01-15,3282.270020,3298.659912,3280.689941,3289.290039,3289.290039,3716840000
2022-01-16,3302.969971,3317.110107,3302.820068,3316.810059,3316.810059,3535080000
2022-01-17,3323.659912,3329.879883,3318.860107,3329.620117,3329.620117,3698170000
2022-01-21,3321.030029,3329.790039,3316.610107,3320.790039,3320.790039,4105340000
2022-01-22,3330.020020,3337.770020,3320.040039,3321.750000,3321.750000,3619850000
2022-01-23,3315.770020,3326.879883,3301.870117,3325.540039,3325.540039,3764860000
2022-01-24,3333.100098,3333.179932,3281.530029,3295.469971,3295.469971,3707130000
2022-01-27,3247.159912,3258.850098,3234.500000,3243.629883,3243.629883,3823100000
2022-01-28,3255.350098,3285.780029,3253.219971,3276.239990,3276.239990,3526720000
2022-01-29,3289.459961,3293.469971,3271.889893,3273.399902,3273.399902,3584500000
2022-01-30,3256.449951,3285.909912,3242.800049,3283.659912,3283.659912,3787250000
2022-01-31,3282.330078,3282.330078,3214.679932,3225.520020,3225.520020,4527830000
2022-02-03,3235.659912,3268.439941,3235.659912,3248.919922,3248.919922,3757910000
2022-02-04,3280.610107,3306.919922,3280.610107,3297.590088,3297.590088,3995320000
